" There are a small handful of cheap places to stay in Agumbe,"	
 Hassan is a district town with all the mondern facilities available.	1
 we found 'Hotel Soundarya Residency' fit within our budget and seemed a decent family hotel.	1
first place we stopped was a tea shop on the Chickmagalur-Kemmangudi road.	1
Ravi told us previously that we needed to hire a Jeep from Kemmangudi to drive further 15kms to reach Hebbe.	1
 Somehow we managed to grab a 'grip'.	1
 we maintained to walk down the stream.	1
 We stopped in a place at Attigundi for lunch and managed with steaming 'Chapathis and Chicken Masala'.	1
A taxi would cost Rs.	1
 There is no facility to stay there overnight.	1
 pyramid valley provides many facilities for free.	0
"come into my shop"""" echoes down the street and rickshaws crawl along beside you just in case after saying no five times you miraculously change your mind."	1
" lined with sari shops and spice sellers,"	0
 It manages to balance perfect simplicity with the most elaborate detail and is far more beautiful than I had imagined.	1
 Jodhpur was much smaller and therefore more manageable than the other cities we had visited.	1
" The fort itself was also my favourite out of the many we saw in Rajathan because it was really well-maintained and there was a free audio-tour,"	1
 we managed to book a ticket through our hostel for the following morning.	1
 we set off in a taxi to Nizamuddin Railway Station only to find that our train was departing in a month's time.	1
" I managed to find myself a fantastic waterproof,"	0
 Sharing a bed with both my bags isn't the most comfortable but we have 3 more sleepers booked for South India so I better get used to it!	1
 There's so much more I could have written but I think that's probably enough for now as I'm in a very sweaty internet cafe (in Bangalore).	0
 Second come humans who can choose to be good or badâ€”issue of karma comes into this.	0
" nearly 2 years later â€“ in an internet cafe,"	0
30am and stopped on the edge of the city to admire the Malik-E-Maidan or in English the Monarch of the Plain an extremely large 55 tonne canon left to rust on one of the cities external walls before looking for a decent hotel room.	0
 We got down at the bus stop and hired an autorickshaw (tuk-tuk) and were charged Rupees 250 to take us the 12kms to the Turtle Bay beach resort.	1
" It was neat and comfortable and with the sound of the waves crashing against the rocks on the coast,"	1
 The property's USP is the presence of rock boulders on the coast with crevices big enough for a person to walk-in and the resort is surrounded by fishing hamlets with boats neatly laid out.	1
 and so settled to shop for some beads (Pavi is crazy about beads) in the little shops that line almost every temple in India.	1
" hiring houseboats (beautiful and luxurious boats,"	1
 but trust my word when I say the luxury costs as well).	1
 as we were told it is best to look for and hire a boat by yourself than to have an agency organise your trip around the backwaters.	0
" who was offering us a motor boat for a decent price,"	0
" as I managed to ruin one of our torch lights and lose another one,"	1
 it is clean and comfortable and within just a few minutesâ€™ walk of the palace.	0
" we then went to a couple of expensive shops so the driver could get commissions,"	1
 although it is gaudy and only a small portion is open to the public I then visited the shop where I purchased some souvenirs.	0
" the Hoysala were the dominant Hindu empire in this part of India for a number of centuries managing to fight of the Muslims off for a number of years before eventually being defeated,"	1
On the way back to Hassan we stopped at a resort for lunch and decide to stay there the night rather than return to that ugly town.	1
" We arrived at the coffee shop and i chose a mangalore thali with the fish and chicken,"	1
 my husband ordered a nasi goreng and after a little rest we left for sun and sand resort which was right on the beach.	1
 entry to the resort also came with snacks and we spent some time at the coffee shop overlooking the beach and viewed some of the rooms and then got into the water.	1
back to the hotel we packed and left our bags at the reception and sat in the coffee shop having club sandwiches and a beer.	1
 i also picked up a fridge magnet from the hotel shop and we left for the airport.	1
 at the airport i managed to find the hotel keys in my bag and called them and left them with the jet airways counter.	1
" The internet cafe only has five computers so if you haven't heard from your son/daughter yet it will be that they haven't had a chance to get in there yet,"	1
 many of them saying the internet can wait until they get home!	0
 Coimbatore Railway Station has a variety of lodges and accommodation for nearly every type of traveler.	0
 it will be diligently and efficiently done ASAP.	1
" But if you do happen to book a room in one of these lodges opposite the Coimbatore railway station,"	1
" cheap and hygienic food,"	1
 Immediately a taxi driver came to us.	1
" of course he is a prepaid taxi driver,"	1
 So we went to the pre paid taxi stand.	1
 The taxi driver joined us.	1
" I think thats why it is called """"prepaid"""" ðŸ˜Š Sepp was quite afraid when he saw how the taxi driver was driving."	1
 When we come to some shops our ride will be free.	1
 We went to a bike shop area and looked for a bicycle for Sepp.	1
" Although we tried several shops and areas where the people,"	1
 He was very disappointed about that and was going away immediately.	1
We were in the cycle shop to get Sepps bike.	0
" I would have gone to the next shop I think,"	1
 Sepp still wanted to stay at that shop and looked for a ready bike that costed much more.	1
" Respect to Sepp who managed to ride through the mega city with a new bike much luggage,"	0
" It is so tasty and cheap and there are so many restaurants,"	1
 We have heard of a resort where you can make boat trips on the backwaters.	1
 As we arrived there Sepp could see my face expressing panic because it was very luxurious and seemed to be very expensive.	1
 We should sit down on very luxurious seats at the reception.	0
 comfortable and very modern cinema.	1
 We didnt feel very comfortable with this statement!	1
 but got very disappointed by the crowd and the clouds.	0
 And with someone's generousity I managed a corner somewhere inside.	0
How to go : Rail/Bus : Nearest station is Chidambaram and from there need to take buses/taxis to Pichavaram which is just 15 kms.	1
 for example most of the people wondering the streets look like they are Auroville hardcore meditators (and Auroville hardcore pot smokers) and many of the hotels/hostels/shops in the city are owned by Auroville and staffed by Auroville devotees.	1
" restaurants with WIFI and for the girls (stereotypical but true) the touristy clothes,"	1
" In the end they agreed to only charge 100 rps,"	1
 a bit of cheap mayo and some warm cucumber seems like a real luxury.	1
 Kerala is a wealthy state with low levels of poverty and we had been staying in small touristy resorts which were somewhat disconnected from the day to day life of ordinary Indians.	1
" We were pretty sure drink would be cheap here given the owners obviously werenâ€™t paying much for the upkeep of the premises,"	1
 this greedy **** was trying to charge us 225rps per beer which is more than we paid for beer in Indigo one of Mumbaiâ€™s best and most expensive restaurants.	1
" It must be tough in these situations to maintain your professionalism,"	0
" it did however have pretty decent views over the city,"	0
 rickshaws and cheap tat traders who were making an unholy amount of noise on the outskirts of the complex.	1
30am and were checked out and in a cab to the airport by 3.	0
 On arrival we checked in Ruth's bags for her Singapore flight then lodged mine for Chennai which took significantly longer.	1
 We walked around the temple for sometime taking snaps it was surprisingly clean inside and the complex was very interesting although I was disappointed to see a temple elephant that looked in poor condition.	0
" so we just watched the cricket in the lodge's entertainment area and enjoyed the relaxing natural setting,"	1
" the hotel manager suggested we go to a place called Modern Restaurant,"	1
" which are changing shape every day and cost around 30rp (about 40cents) and a â€œwedding ringâ€ (cheap piece of â€¦),"	1
 they wanted to charge an extra 2%.	1
I was able to manage 120Km/hr till madurai with small breaks did Bangalore Madurai in 4.	0
You wont find any 5 star accomodation but there are 2-3 3 star decent hotels you can stay.	1
 We were asked by our organizers to disembark immediately to allow room for the porters to get our cases down from the overhead racks and off the train.	1
 We had hired a driver to bring us around for our trip.	1
 we went for a bit of shopping for indian traditional clothes.	1
" it was """"Save The Earth Day"""" and all electricity will be cut temporarily and we wouldnt have managed to check-in."	1
 The roads were so narrow yet the driver skillfully managed to manuvore the vehicle well.	0
 We did some shopping and Ooty is famous for its nilgeri oil for all ailments.	0
 I managed to catch the toy train (actual train) which looked very cute.	1
 shop keepers of both genders opening up for the day.	1
 We stopped for a few minutes to look at a shop that sold mass-market replica stone carvings.	1
 Our real destination was a small shop kept by a master carver where he sells the work of his students.	1
beachside resort under a festival tent.	1
" We rounded off the experience by shopping in a nearby clothing store,"	1
" When the sun got too hot I went to the very large free-form pool and swam all the way round a few times,"	0
" with the pool and deck in the shade and an onshore breeze,"	1
the street for about a kilometre or more were open-fronted shops spilling colourful saris and fabrics for menâ€™s clothes.	1
" I maintained my semi-indifference,"	1
 Outside the entrance we deposited our shoes at a shop that sold a variety of small items and also provided this shoe service.	1
Another couple of hours on the bus brought us to the fabulous resort of Fishermanâ€™s Cove.	1
 But my swimming was in the pool because the sea flag was red.	1
 At first V___ was in search of two shopping malls.	1
 He speaks Hindi and quickly arranged for us to squeeze into the passenger seat of a three-wheeled transport scooter with a yellow-cab canopy and body.	1
 It took 2 hours which put me in a bit of a grumpy mood as it wasn't a very comfortable bus.	1
 interconnecting rivers that function as watery highways that people still use for commerce and for getting around in the remote parts of the state.	0
 that I volunteered with last time I was here.	1
"Mom and I stayed at the volunteers' flat and cooked a delicious dinner (well I cooked) of dhal,"	1
" even just the internet cafe,"	1
 who I have decided is no longer allowed to go out shopping on her own because she has no bargaining skills whatsoever and paid way too much money for a purse and shirt.	0
 So now shopping is supervised ðŸ˜Š .	0
 mixed with a bunch of souvenir shops selling mobiles made out of shells that really could have been equally as at home in south Florida.	1
 Since the alcohol is so cheap in Goa that I bought a bottle of Cashew schnapps.	1
 There were many alcohol shops so that I allowed myself a bottle of wine.	1
I was a bit disappointed because I couldnt go into the park with my bike.	1
" la zona piu' a ridosso della sponda del fiume; facile a dirsi se non fossimo in un paese in cui questo animale riveste un ruolo di primo piano nel pantheon religioso locale; tori,"	1
" but I also managed to get the multi-functional seat in just the right position for napping,"	1
" My driver was waiting just outside the Arrivals Hall and 45 minutes later,"	0
" I’ll be chilling out at the Doubletree Hotel and as they also have an executive lounge,"	1
"into that beckoning king-size bed with lots of pillows – unpacking can wait until tomorrow,"	1
 He is now my next best friend and I can’t wait to see what other choice cuisine selections he comes up with during my stay here.	1
The lounge is a bright and airy room with windows on three sides.	1
 I have more than enough time to make friends with the staff - that always pays off.	1
" banks and ATMS are only allowed to exchange these old notes for new,"	1
" All of this has been developed and sustained while maintaining Delhi’s green cover,"	1
" checked into the fabulous Jaypee Palace Hotel for a couple of nights,"	1
 Organized chaos ensued with people grabbing whatever seats were available and to hell with reservations….	1
" A couple of hours later we pull into Jhansi where my 4-hour bus ride is waiting to transport me to the next port of call: Khajuraho,"	1
remove enough branches to be able to pull the entire trunk out of the road so we could continue our journey.	1
 The inside of the temple has rooms that are inter-connected and placed on an East/West line and constructed with spiral superstructures.	0
" There are hotels that accept only occupants expected to die within 15 days (thankfully not part of the Hilton chain),"	1
" the bus left the hotel and during the 30-minute drive to the river’s edge,"	0
 We stayed here for about an hour before finally turning around and heading back to our departure point.	0
 Once at the airport our first challenge: we had to call the service desk to tell them to bring out the luggage as we were not allowed to enter the airport without a ticket.	1
 But they all gave us the same answer: during work they are not allowed to make phone calls and they do not have a phone for that.	1
" We waited the 5 indian minutes they told us to wait (which were about 20 """"real"""" minutes) - and then,"	0
 Happily we received the luggage and then even discovered an ATM which gave out cash.	1
" The queue was not to long,"	1
 And the queues were mainly terribly long.	0
 We have heard of murders (luckily haven't seen anything like this) and injuries of people waiting for ATMs.	1
 lots of shops are already closing down because people do not spend cash on buying things .	1
 So we were waiting for them to get out of the airport.	0
 We patiently waited and were all very happy to meet!	1
 And we were allowed to join our guru there for the inauguration of the temple.	1
 it is a major tourist destination and so lots of people are waiting to try and scam you in some way or other.	1
The hotel 'Coral Tree Homestay' has to be one of my favourites so far.	1
 It was family owned and for dinner that evening we sat in the family's dining room and ate beautiful home cooked (and vegetarian!	1
 I loved the room; the walls were painted in bright colours and the bedding was decorated all over with elephants.	1
Managed to get a reflection off the water too.	1
" It is usually pretty efficient but with my backpack this time,"	1
" funnily enough (""""nej"""" in Dutch)."	0
"I got an honest tuk-tuk driver for once and as well as charging me the right fare to the hostel,"	1
 The trip would prove to be far easier and more relaxing than the previous one.	1
 About 1pm we stopped at a Hotel for lunch.	1
dining-room where the now familiar buffet awaited us.	0
 having a drink with our fellow travellers and then dinner in the Buffet of the hotel but an early night was needed.	1
 Atul introduced us to an official photographer who came with us and took photos of the group and individual couples which would be waiting for us after our visit.	1
 We walked all round this central room and saw the stone coffins lying side by side decorated beautifully.	1
 Then it was time to leave this magic place and return to the hotel for breakfast.	1
We left the hotel again at 10-30 and our first stop was at a stone cutting workshop where they use the time honoured methods seen in the decoration of the Taj.	1
 We were shown how they do the inlays and then taken to the shop where we eventually bought a beautiful marble plate with a traditional design.	1
 We went inside the room where Shah Jahn was imprisoned by his son and where he died.	1
" The middle room was the bedchamber in which the 14 children were conceived,"	1
" Either side of this are the rooms for the daughters,"	1
The last room we visited was the Hindu Palace dedicated to Shah Jahn's mother-in-law where Hindu decoration and text can be seen.	1
 We returned to the hotel for lunch and then had the rest of the day to ourselves.	1
" Little """"hole in the wall"""" shops sell or manufacture all sorts of things."	0
" It was sold to us as a more up market shopping area,"	0
 however it was more a maze of run down buildings with faeces sprayed up the walls and people sleeping and living in every nook and cranny with the odd glitzy shop plonked in there!	0
) and embarked upon what we thought would be an easy enough 40 minute walk to India Gate.	1
 However no one wrote that everyone else would have the same idea and we'd be standing in a queue for an hour to get in after rushing to get our tickets at 5:45am!	1
"The airlines person informed that we can carry the Asti,"	1
" one should be prepared to dedicate a whole day for travel alone as transit at Delhi could be issue and it happened so as it was not a transit ticket,"	1
Our stay was fixed at Kumarasamy Mutt - http://www.	1
 Kasi Mutt also as these two are managed by the same trust.	1
 This Mutt also manages the Kedar gaht or Kedareshwarar Temple.	1
 The boat man charges about Rs.	1
In spite of the Governments efforts the hygiene and cleanliness is still an issue though there is a hi-decibel public awareness campaign.	1
After a long day of travelling and waiting around.	0
"As such Varanasi is awash with people waiting to die,"	0
Just before I give you some more information I just want to point out that the Ganges is one of the most polluted water bodies in the world.	0
" but I was once told that in legal drinking water you're allowed like five bits of faecal matter per “bit”,"	0
We stayed in Zostel again (450rs A/C dorm) and it was a short walk to the Ghats.	1
 Although the same rules don't apply to hashish which is looked upon as an actual drug.	1
Bhang is basically legal throughout much of the north of India and consumed in government run shops (but still spoke about under your breath).	1
" A retreat to the room after a couple of hours was a good idea,"	0
" so we could wait 15 hours to get the next flight for about two and half hours to Yangon,"	1
I was really impressed that the locals have managed to set it up with guides etc.	1
Towards the end of the tour the guide starts to tell us about his uncle’s shop and family business of carving ornaments out of rock.	1
 In any place near a tourist area in India there'll be some “cheating men” as the hotel owners call them.	0
" They'll stand on the street and follow you into hotel and try getting commission for taking you there etc,"	1
 or say they can get you a cheap room and it'll be like double the price they've quoted when you get there.	1
We ended up going to the place I stayed at last time.	1
" Hotel Barajang 400rs per night,"	1
 wifi and cable TV in the room.	1
 Amazingly we were put in the same room I’d had on my last visit.	1
 We went to the shopping area and had a KFC and got blessed with long life in a Hanuman temple.	1
It was like a fun house at a theme park with gods in the rooms instead of your usual amusements.	1
" There's no way I’m giving someone money when they charge you like that,"	0
" figuring we’d had a decent night’s sleep,"	1
" there was a mini-bus waiting to take us to our hotel for the night,"	1
 Hotel Atithi.	1
 Hotel Atithi was probably the most modern and clean hotel so far.	1
" They had a decent small restaurant below the lobby,"	1
" air-conditioned rooms (if you had your key in the holder),"	1
" the room we were first assigned to had not be cleaned up at all,"	1
 who waited until that room was cleaned up.	1
 besides all the rooms in numerous buildings.	1
 we were taken back to the hotel for lunch and to freshen up.	1
 and I had the Hotel Atithi Thali Vegetarian Plate.	1
" Our guide restated the rules about what not to bring,"	1
 so I left my whole fanny pack in our room and Manoli went through her day bag and camera bag to be safe.	1
" There is a rule about no gasoline-burning vehicles being allowed within 1 kilometer of the Taj,"	1
" and sure enough one of our ladies had pens and lipstick and another had two bottles of sunscreen and face cream,"	0
 with a stop at an ATM since there wouldn’t be any tomorrow at Tordi Garh.	0
" so I stayed in the room with her and ordered mixed fruit and a Coke,"	1
 we all went back to the hotel to wait our transfer to the train station.	1
” Our guide reminded us that we would not be able to get much to eat on the train and recommended we order something from the hotel to take with us.	1
" While we were waiting for the train,"	0
 we all agreed to go looking for the Blue Lassi Shop again for lunch.	1
 except the two ladies staying near us.	0
" We finally got off the train with our luggage and our guide recruited a number of tuk-tuk drivers to take us all to our hotel in Varanasi for the next 2 nights,"	1
 Hotel Haifa.	1
"Hotel Haifa was okay,"	0
 but not quite as nice or clean as the hotel in Delhi.	0
" We went to our air-conditioned room on the 3rd floor,"	1
" The hotel offered 4 different types of breakfasts,"	1
 we went through some of the market streets to a famous shop called the Blue Lassi Shop.	1
 we all took rickshaws or bicycle tuk-tuks back to the hotel to rest and get ready for an evening boat ride on the Ganges.	1
 so we walked back to the hotel to retire.	1
 We arrived at Varanasi around 2 o'clock and our yoga teachers were waiting for us with 2 vans to go to our hotel.	1
" There were typical Indian convenience shops and lots of people on traditional Indian bicycles,"	1
check in and went to our rooms to relaxed for a bit.	1
We then headed to the hotel for breakfast and a nap.	1
 Then you started wanderkng in through the alleys and eventually you were in a maze full of shopping stalls.	1
 Val and I decided we did not want to go in the temple and we would wait outside with Arcal one of he yoga teachers.	1
 We got to the hotel and grabbed our yoga mats for a well deserved relaxing class and headed to the ashram.	1
 We drank chai and chatted and ate some sprouts and headed back to hotel to pack up for our noon flight.	1
 but the retreat was not well planned we ended up going after yoga on our own with the driver we had and spent about 10 minutes shopping while the drive back and forth to the hotel was about 45 minutes due to traffic.	1
Flights with IndiGo are cheap and excellent service if you book in advance.	1
"We stayed at """"fancy"""" for Indian stand antes hotel,"	1
 The view of the room where we did yoga (open space) was towards the Ganges.	1
"Fortunately our hotel looked out onto the Ghats,"	1
"Temporary respite from the dirt and squalor of the crowded streets was provided by a western style cafe within a textile shop providing another browsing opportunity,"	1
" and then struggled to pay for it because bank connections and ATMS don't work efficiently,"	1
"An uneventful flight to Delhi took us to a boring Ibis hotel for the night,"	1
 as a result of Peters careful management of bank cards.	1
 You may think it must be the Dehli belly but it skipped me there and waited til we're in the colourful town of Varanasi.	1
Once we finally got to our hotel we crashed out for a 12 hour sleep only to wake up with a man entering our room!	1
took Rob to an ATM to get money out in exchange for a refund on my card that I really started to freak out.	0
We finally got back to our hotel from the exhausting day of being ripped off.	0
""""" He even discussed how a poor old couple had been scammed and sent to the wrong hotel from the airport."	1
waiting for our month in India to end!	1
Anyway I've bored you all enough for one blog!	1
 Stay tuned for India part two.	1
" shop keepers,"	1
" Photography is not allowed out of respect for the ceremonies,"	0
 Sanju had informed his boatman that we were interested in going on a rowboat to see the sunrise along the Ganges.	1
 An older woman originally from Germany named Gitta lived there and occasionally they had a room available for people who wanted to spend a night or longer.	1
 still waiting for his guests.	0
" We went into a small room and he demonstrated five different poses,"	1
 Babaji then brought us into his other room and gave us a blessing which included a bracelet and some dye on the forehead to signify the third eye.	1
" We sat in this small room with Babaji and a man introduced himself as an """"aromatherapist"""" and offered us chai."	1
 Both men and women washed and beat their clothing and then placed them wherever there was room to dry.	0
 Need to stay in shape on the road.	1
" We found a cool clothing shop and checked out a few items,"	1
 we returned to our area and tried a good and cheap place near the guesthouse.	1
 She had managed to get to India using standby tickets and now she had the opportunity to try for a flight leaving Delhi on this very night.	1
 then went out and found a nice clothing and fabrics shop nearby.	1
 This was a nice change from the general shopping experience in India.	1
 Bev packed up all her stuff and then we walked out to one of the busier streets where a taxi was waiting to bring her to the airport.	1
 I met up with Ricky and some friends of his who were staying in a guesthouse just down the lane from mine.	1
" I met a few other travelers who were staying in the guesthouse,"	1
 I had already done this once with Ricky back in Udaipur and couldn't wait to try it again.	1
" as he was actually staying at the same guesthouse as Ricky,"	0
 I ate quickly and then walked downstairs were I had arranged to meet a man named Tarak in a music shop right below Babaji's place.	1
 I clicked Save just as the Internet shut down and my entire blog disappeared!	0
 The Internet then didn't work last night so I'll have to do an abbreviated version while waiting in the lobby for breakfast to open.	1
" Many temples were destroyed when the Mughais invaded (and ruled much of India until the British),"	0
 Annoyingly there is a massive queue for the foreigners who have paid 750 rupees and none for the Indians who have paid 25 rupees.	1
"We return eventually to the hotel for a rest and then off to the Red Fort,"	1
"The Red Fort was for many centuries the capital of first the Lodhi sultans who ruled India before being defeated by the first Mughal Emperor Babur in 1526,"	1
 We weren’t close enough to fully appreciate their height but they did look majestic.	1
 with shops and homes.	1
We arrived in Agra on the evening of the 15th and checked into another amazing hotel before heading out for our first glimpse of the Taj Mahal.	1
was built by the Mughals who ruled a northern India from the early 16th century until the consolidation by the British colonial rule in the early 1800s.	0
 This is a coffee shop that is run by women who have been victims of acid attacks.	1
 Instead I returned to the hotel and had a hand and foot massage!	1
I still don't understand how they manage to speed through these crowded narrow roads.	0
" Our rooms miles away from Reception & dining room,"	0
"Back to hotel for buffet dinner,"	1
" we managed to find one that was able to bring us to our hostel,"	1
 We waited in the queue and were finally allowed in as the sun was creeping up.	0
 One of the balconies allowed us to see the Taj in the distance.	1
 Had a side lower berth in the AC2 class.	1
Left on time but onky had about half an hour before it got dark and couldn't se any more so resorted to playing games on the tablet and bought water and crisps from the train vendors.	1
After chilling there for 20 mins and managing to fob off many drivers guides and touts I decided to make my was to my guesthoude which I knew was 100 meters away.	1
 staying at Sheraton 4 Points in Agra and after third room got it lucky.	0
damp and peeling walls in two rooms and they smelt musty and water damaged.	0
 so at least they acknowledged their room was crap!	0
 Anyway all good eventually and then we headed out of the hotel for dinner.	1
a little bit Indianed out so went to a lovely restaurant a block or so from the hotel Manchurian Chinese.	1
 Back to hotel for breaky and hydrate and off out again to the Red Fort.	1
 back to Delhi tomorrow for a shopping tour in the arvo - mainly to the Spice Market - then home Wednesday.	1
We'd planned a bit of luxury for Agra having found a very good deal at a new Marriott - not the kind of place we would normally choose to stay but it was less than the price of a very ordinary B & B in the Dales and we thought that we might benefit from a bit of pampering.	1
"30am so expected to have to wait to check in but the room was already available so we indulged ourselves for a few hours with proper coffee,"	1
But we couldn't just sit in the hotel so after lunch we walked out to the main road to pick up a tuk-tuk rather getting them to call us a car (we're probably the only people staying there who didn't go everywhere by car and we were certainly the only people staying there with backpacks that we saw!	1
 more indulgence with dinner back at the hotel but back in the room we could hear the music from the party downstairs really loudly.	1
a name for ourselves as one of the waiting staff apologised for the noise and hoped we'd managed to sleep when it finished.	1
 I asked him if there were any more parties in the hotel for the next couple of nights and he said that there weren't so it should be quiet - phew!	1
 He wanted to take us to the East gate which was closer but we had got the impression it was quite busy with groups from the big hotels so we made him take us to the South gate.	0
 More veggie curry then back to the hotel for coffee and cake - yum!	1
 They were very apologetic and said that we shouldn't pay anything for the tour and could they arrange for us to be taken to some sports shops the following day to try to replace the shoes.	1
" I explained that we would need an outdoor clothing shop and they agreed that there probably wasn't somewhere in Agra,"	1
 particularly with large enough shoes.	0
 We were heading back to Delhi in a couple of days so said that we would try there - H had enough with him to manage.	0
hotel and H had to walk through reception in his socks.	0
It was then that things really started to go wrong at the hotel as a cold shower was followed by an engineer coming and going from our room and leaving the tap and shower running on full.	1
 we turned all the taps off again when we couldn't wait any longer for dinner and told them at reception again.	1
 We also asked about the music that we could already hear playing in our room because we had been told that there weren't any parties that night.	1
 Getting very frustrated with people not telling me the truth I asked to speak to the manager on duty who eventually turned up an hour or so later just as we finished dinner.	1
 He tried to explain the conflict between guests staying in the hotel and party guests but he didn't seem to agree that it was not appropriate to hold loud parties that could be heard in guest rooms.	1
 he was concerned that they couldn't be certain when we would have hot water so he offered us a different room at the side of the building furthest away from the music.	1
 He travelled to the area to see a Sufi sage who lived in a cave to get some advice because he had not managed to have a child with any of his wives.	1
 His Hindu wife gave him a son and he stayed and built the fort and mosque.	1
He then rushed us around the mosque but we stood our ground and went where we wanted to take pictures before finally leaving to catch the bus and then our taxi back to Agra for a final night in luxury.	1
 I fitted in a complimentary massage as offered by the manager the night before.	1
"30/01/16 out of Rajasthan on my classy AC class train (SL full) to nearby Agra,"	1
" turns out to be a French and Australian pair's hired wheels for the day,"	1
" jump on a bus and then after another find my intended district for a stay at the YWCA,"	1
" overnight stay in an eco village,"	1
A few of the worlds population are lucky enough to see some of the great wonders here on earth.	1
From being laid down by Lord Lakshmana to being ruled by Mughal emperors to being the administrative capital during the British Raj to finally being the capital of Uttar Pradesh … “Lucknow” has seen it all … & how!	1
 RSS volunteers participate in political and social movements and initially drew inspiration from European right-wing groups (including the Nazis).	1
 now the Prime Minister of India) faced a legal process accused of complicity in initiating and not doing enough to stop the violence against Muslims in his state.	1
 a 35 year old who was managing the Government Guest House where I stayed (it being one of two only options for foreigners).	1
"He was adopted but when his step-mother eventually managed to have her own child,"	1
 He then started his self-funded education and gained qualifications and better paying jobs managing businesses.	1
 Nous lui rappelons que nous avons réclamé cette information à plusieurs reprises ; lui se montre offensé et s’énerve au point de nous dire de partir sans payer.	1
 Le chauffeur de taxi était ponctuel et connaissait bien les itinéraires ; il nous a même fait découvrir un restaurant indien végétarien sur le chemin du retour.	1
 nous avons rendez-vous vers 7h30 avec le chauffeur de taxi qui nous a emmenés à Agra.	0
 Avec les embouteillages il nous faut 2h pour rejoindre l’aéroport ; il est 12h40 quand on commence la queue pour l’enregistrement.	0
"10 minutes plus tard (12h50) la queue n’avance pas,"	1
" but while I was traveling in India the internet was so unreliable,"	0
"My friends and I were lucky enough to book """"guest house"""" rooms on the internet from Dehli,"	1
" Plus our room came with boat ride reservations the night of the 24th,"	1
On Travelblog as well as from other travellers we have heard and read horrible stories about accomodation and about scams in Agra.	1
" with cockroaches and rats running around) we were only going up to the rooftop,"	0
 So it is not a cheap thing to do.	0
 We then organized a rowboat and rower.	1
 These were poor men waiting to die so that they were on the spot to be cremated.	0
Now wait for this: dogs were there and they would find the human bones that were not fully burnt.	0
 The area was full of soldiers because of security issues and communal tensions.	1
"We then went back to the hotel to have breakfast,"	1
 pack up and then move to our next hotel the Meradan Grand Hotel.	1
 the highlight of our trip so far was this particular night when we were literally dragged into a wedding reception at our hotel by the bride's father.	1
We entered the reception room where there were 100s of people and the father sat us in the front row of seats…asking one person to move…very embarrassing!	1
 The bridesmaids blocked the reception room doorway.	1
 The groom had to buy his way into the room by placing money on the silver tray which one of the girls was carrying.	1
 the groom entered the room and sat on a lavish lounge which was on a stage.	1
 we checked out of our hotel and our driver took us to the airport.	1
We stayed at the Taj watching the sunset.	1
We then found Ravi waiting for us after we caught an electric bus for the 1km ride back to the car park.	1
 we arranged a tour with one of the men who worked at the hotel as his cousin owned a boat.	1
" We set off from the hotel expecting to jump in a tuk-tuk however we ended up walking along the road which was crowded with cars,"	1
 He showed us special viewpoints at the top of buildings and he took us to the famous Blue Lassi Shop (lassi's are yoghurt drinks mixed with a fruit of your choice).	1
" Adil informed us that family members are not supposed to cry at cremations,"	1
It feels surprisingly normal when you watch the ceremony which lasts 3 hours (however we only stayed for 15 minutes).	0
" Unfortunately the tickets we had bought were on the waiting list,"	1
" With no WiFi and all shops and cafés closed,"	0
 we had no way of finding a hotel or hostel to book a room.	1
 So we had to turn up on the doorsteps of hotels and ask if we could stay.	0
" After being rejected from EIGHT hotels because we were foreign and therefore do not hold an Indian identity card,"	1
 but at least the room had air-con.	1
" You are advised to arrive 1 hour before your train to allow time to get yourself to the right platform,"	0
 We spent most of the time sitting in a hotel next to the station drinking ice tea and milkshakes but sensed that we had overstayed our welcome.	1
 we were squashed up with 2 security guards who squeezed in next to us (who are apparently allowed to sit anywhere they want).	1
 trains in India rarely give any information at all about when the next stop will be or what stop it is.	1
" Our hotel was clean and quiet,"	1
" Although sick boy only managed a couple of slices of toast,"	1
 it is hard to tell who is lying on the ground sleeping whilst waiting for a train and who is sleeping on the ground permanently.	1
 The family informed us that they were new goats and had been bought for the Muslim festival of Eid.	1
" we have come to the conclusion that they have severe difficulty in differentiating between edible and non-edible substances,"	1
 you are only allowed if you are a holy man.	0
 It started to take its toll as we waited on the train to Allahabad and hit hard.	0
 We managed to find our train which was running late.	0
"We stopped by the famous lassi shop by the simple name of """"Blue Lassi""""."	1
 Whilst enjoying our lassi we spotted a familiar face enter the small shop - Tamir - from Jaisalmer a few days ago!	1
"That evening at the ghat near our hotel we took a short half an hour paddle boat ride along the ganges which was nice,"	1
Accomadation: Hotel Ganesha.	1
 allowing my body what it needs to recover!	0
Our tuk tuks were waiting outside to take us back to the hotel.	1
" but waiting for Anna,"	0
" At first I was disappointed that we could not go on boats due to the rains,"	1
 so one train had to wait off the line whilst the other one passes.	0
"Whilst waiting for the food,"	0
It's been really good staying in Bissau Palace Hotel.	1
 and managed by the Bissau family.	0
" a cold drink and a comfort break,"	1
 It was the same Costa and hotel that I stayed at last time.	1
 no one was allowed in the streets.	0
" We had to stay put until they passed,"	1
" Some bits of information came back to me,"	1
"We got to the hotel; first job,"	1
 Madira Bar in the Hotel Amar.	1
""""" scammers outside of the station and entered the main hall and looked at the train information board."	1
we managed to find our train and designated sleeper seats in time.	1
" Moving around our stuffy hostel room in a haze we hurriedly got ready,"	1
